IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.222.144.50,2095,false,SIN,Asia Pacific,Singapore,232 ms,4718 kB/s
47.236.169.141,2095,false,SIN,Asia Pacific,Singapore,226 ms,4717 kB/s
47.236.9.152,8080,false,SIN,Asia Pacific,Singapore,233 ms,4716 kB/s
47.236.144.208,8080,false,SIN,Asia Pacific,Singapore,235 ms,4714 kB/s
47.236.104.11,2082,false,SIN,Asia Pacific,Singapore,247 ms,4713 kB/s
47.236.80.110,80,false,SIN,Asia Pacific,Singapore,216 ms,4708 kB/s
47.236.165.25,2086,false,SIN,Asia Pacific,Singapore,234 ms,4705 kB/s
47.236.145.85,2082,false,SIN,Asia Pacific,Singapore,237 ms,4697 kB/s
47.236.172.71,2082,false,SIN,Asia Pacific,Singapore,232 ms,4692 kB/s
47.236.144.208,2086,false,SIN,Asia Pacific,Singapore,245 ms,4692 kB/s
8.219.83.201,80,false,SIN,Asia Pacific,Singapore,216 ms,4683 kB/s
47.236.165.25,2095,false,SIN,Asia Pacific,Singapore,231 ms,4676 kB/s
47.236.146.249,2052,false,SIN,Asia Pacific,Singapore,238 ms,4672 kB/s
47.237.10.1,2086,false,SIN,Asia Pacific,Singapore,245 ms,4644 kB/s
47.236.167.231,2052,false,SIN,Asia Pacific,Singapore,226 ms,4636 kB/s
47.237.83.20,2052,false,SIN,Asia Pacific,Singapore,222 ms,4632 kB/s
8.222.164.209,8880,false,SIN,Asia Pacific,Singapore,222 ms,4631 kB/s
47.237.10.1,2082,false,SIN,Asia Pacific,Singapore,237 ms,4628 kB/s
47.236.87.246,2082,false,SIN,Asia Pacific,Singapore,248 ms,4628 kB/s
47.236.87.246,8880,false,SIN,Asia Pacific,Singapore,238 ms,4621 kB/s
47.236.144.196,2095,false,SIN,Asia Pacific,Singapore,219 ms,4619 kB/s
47.237.81.112,80,false,SIN,Asia Pacific,Singapore,222 ms,4616 kB/s
47.236.170.225,2095,false,SIN,Asia Pacific,Singapore,222 ms,4606 kB/s
47.237.10.1,80,false,SIN,Asia Pacific,Singapore,225 ms,4605 kB/s
47.236.117.48,80,false,SIN,Asia Pacific,Singapore,235 ms,4602 kB/s
47.236.171.205,8080,false,SIN,Asia Pacific,Singapore,229 ms,4601 kB/s
47.237.84.173,2086,false,SIN,Asia Pacific,Singapore,242 ms,4600 kB/s
47.236.121.23,2086,false,SIN,Asia Pacific,Singapore,229 ms,4588 kB/s
47.236.144.196,80,false,SIN,Asia Pacific,Singapore,234 ms,4580 kB/s
8.219.153.237,2095,false,NRT,Asia Pacific,Tokyo,299 ms,4573 kB/s
47.236.166.131,2052,false,SIN,Asia Pacific,Singapore,221 ms,4572 kB/s
47.236.10.182,2082,false,SIN,Asia Pacific,Singapore,234 ms,4572 kB/s
47.236.10.100,8080,false,SIN,Asia Pacific,Singapore,252 ms,4564 kB/s
47.236.174.206,8080,false,SIN,Asia Pacific,Singapore,225 ms,4564 kB/s
47.236.169.15,80,false,SIN,Asia Pacific,Singapore,252 ms,4561 kB/s
47.236.10.100,2082,false,SIN,Asia Pacific,Singapore,220 ms,4557 kB/s
47.236.172.71,8080,false,SIN,Asia Pacific,Singapore,221 ms,4553 kB/s
47.236.158.158,2052,false,SIN,Asia Pacific,Singapore,230 ms,4551 kB/s
47.237.8.82,80,false,SIN,Asia Pacific,Singapore,228 ms,4547 kB/s
47.237.83.20,2095,false,SIN,Asia Pacific,Singapore,242 ms,4539 kB/s
47.237.95.140,8880,false,SIN,Asia Pacific,Singapore,230 ms,4537 kB/s
47.236.167.231,2082,false,SIN,Asia Pacific,Singapore,222 ms,4536 kB/s
47.237.92.26,8880,false,SIN,Asia Pacific,Singapore,226 ms,4535 kB/s
47.237.8.82,2095,false,SIN,Asia Pacific,Singapore,251 ms,4528 kB/s
47.237.82.15,2082,false,SIN,Asia Pacific,Singapore,222 ms,4525 kB/s
47.237.0.31,2082,false,SIN,Asia Pacific,Singapore,236 ms,4524 kB/s
47.237.95.13,80,false,SIN,Asia Pacific,Singapore,234 ms,4523 kB/s
47.236.123.133,2086,false,SIN,Asia Pacific,Singapore,250 ms,4522 kB/s
47.236.166.131,2095,false,SIN,Asia Pacific,Singapore,246 ms,4515 kB/s
47.236.169.15,2086,false,SIN,Asia Pacific,Singapore,233 ms,4512 kB/s
47.236.169.164,2095,false,SIN,Asia Pacific,Singapore,228 ms,4504 kB/s
8.219.67.133,8080,false,SIN,Asia Pacific,Singapore,222 ms,4493 kB/s
47.237.86.185,2095,false,SIN,Asia Pacific,Singapore,222 ms,4493 kB/s
47.236.117.48,8880,false,SIN,Asia Pacific,Singapore,236 ms,4490 kB/s
47.236.5.223,2086,false,SIN,Asia Pacific,Singapore,226 ms,4486 kB/s
47.237.95.156,8080,false,SIN,Asia Pacific,Singapore,222 ms,4485 kB/s
47.236.149.107,2082,false,SIN,Asia Pacific,Singapore,238 ms,4482 kB/s
47.236.97.90,2082,false,SIN,Asia Pacific,Singapore,238 ms,4474 kB/s
47.237.100.206,2086,false,SIN,Asia Pacific,Singapore,242 ms,4471 kB/s
47.236.121.23,8080,false,SIN,Asia Pacific,Singapore,234 ms,4465 kB/s
47.236.117.48,8080,false,SIN,Asia Pacific,Singapore,239 ms,4463 kB/s
47.237.86.185,2082,false,SIN,Asia Pacific,Singapore,242 ms,4460 kB/s
47.237.92.26,2095,false,SIN,Asia Pacific,Singapore,249 ms,4448 kB/s
47.236.10.182,2086,false,SIN,Asia Pacific,Singapore,251 ms,4444 kB/s
47.236.169.15,2082,false,SIN,Asia Pacific,Singapore,223 ms,4443 kB/s
8.222.164.209,2082,false,SIN,Asia Pacific,Singapore,226 ms,4433 kB/s
47.236.10.182,80,false,SIN,Asia Pacific,Singapore,227 ms,4427 kB/s
47.236.10.182,8880,false,SIN,Asia Pacific,Singapore,225 ms,4423 kB/s
47.236.171.205,8880,false,SIN,Asia Pacific,Singapore,224 ms,4408 kB/s
47.237.81.112,8880,false,SIN,Asia Pacific,Singapore,223 ms,4406 kB/s
47.237.92.26,80,false,SIN,Asia Pacific,Singapore,224 ms,4381 kB/s
47.237.8.82,8080,false,SIN,Asia Pacific,Singapore,225 ms,4373 kB/s
47.237.82.15,8880,false,SIN,Asia Pacific,Singapore,239 ms,4372 kB/s
47.237.94.140,80,false,SIN,Asia Pacific,Singapore,223 ms,4365 kB/s
47.237.81.112,2082,false,SIN,Asia Pacific,Singapore,228 ms,4364 kB/s
47.237.95.156,8880,false,SIN,Asia Pacific,Singapore,219 ms,4363 kB/s
47.236.170.225,2086,false,SIN,Asia Pacific,Singapore,222 ms,4362 kB/s
